Date,Country,Category,Description,Links,,,,,,,,
9-Apr-25,World,Trade Deficits,"Differential tariffs on nearly all countries go into effect: The US imposes an additional country-specific tariff, ranging from 1 percent to 74 percent, on imports from nearly all countries that have a goods trade surplus with the United States, as announced April 2 and amended on April 8. See also: Federal Register notice.

Hear more on what happened on Trade Talks.","Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits
",What happened on Trump’s tariff day (Episode 207),,,,,,,
8-Apr-25,China,Trade Deficits,Additional 50 percent tariffs on China for retaliating: The White House amends the April 2 executive order to counter-retaliate by imposing an additional 50 percent tariff on imports from China because of China’s 34 percent tariff retaliation announced April 4. This brings the total US tariff increase on imports from China associated with the original April 2 announcement to 84 percent (with sectoral carve-outs) in addition to the 20 percent (no sectoral carve-outs) of February 4 and March 4. The executive order also amends the duty rates of the separate executive order of April 2 ending de minimis shipments from China effective May 2.,Amendment to Reciprocal Tariffs and Updated Duties as Applied to Low-Value Imports From the People's Republic of China  ,,,,,,,,
,,Retaliation,,,,,,,,,,
5-Apr-25,World,Trade Deficits,"Tariffs of 10 percent on nearly all countries go into effect: The US imposes 10 percent tariffs on imports from nearly all countries as announced April 2. See also: Federal Register notice.

Hear more on what happened on Trade Talks.",Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits ,What happened on Trump’s tariff day (Episode 207),,,,,,,
4-Apr-25,China,Trade Deficits,"China retaliates: China announces 34 percent tariffs in response to US tariffs announced on April 2. Chinese tariffs take effect on April 10. China also announces new export controls on samarium, gadolinium, terbium, dysprosium, lutetium, scandium, and yttrium; an antidumping investigation into US medical CT X-ray tubes; the addition of 11 US companies to the unreliable entity list; export controls on 15 companies; and a ban on imports of Illumina's gene sequencers.
",国务院关税税则委员会关于对原产于美国的进口商品加征关税的公告 ,"商务部 海关总署公告2025年第18号 公布对部分中重稀土相关物项实施出口管制的决定
","商务部公告2025年第20号 公布对原产于美国、印度的进口相关医用CT球管发起反倾销立案调查
",不可靠实体清单工作机制关于将斯凯迪奥公司等11家美国企业列入不可靠实体清单的公告 ,商务部公告2025年第21号 公布将16家美国实体列入出口管制管控名单 ,"不可靠实体清单工作机制关于对美国因美纳公司采取不可靠实体清单处理措施的公告
",,,
,,Retaliation,,,,,,,,,,
3-Apr-25,Canada,Autos,"Canada announces new countermeasures in response to US tariffs on autos: Prime Minister Mark Carney announces 25 percent tariffs on non-USMCA compliant vehicles imports from the US, 25 percent tariffs on non-Canadian and non-Mexican content of USMCA compliant vehicles imports from the US, and intention to incentivize auto production and investment in Canada.",Canada announces new countermeasures in response to tariffs from the United States of America ,,,,,,,,
,,Retaliation,,,,,,,,,,
3-Apr-25,World,,Report to President on America First Trade Policy: The White House releases an executive summary outlining elements of the full America First Trade Policy Report (which is non-public) delivered to the president as directed by his January 20 memorandum.,"Report to the President on the America First Trade Policy
Executive Summary",,,,,,,,
3-Apr-25,World,Autos,"Tariffs on automobiles but not parts go into effect: The 25 percent tariffs on automobiles announced on March 26 and imposed under Section 232 of the Trade Expansion Act of 1962 go into effect. The tariffs on automobile parts are delayed to a future date not later than May 3, 2025. See also Federal Register notice.",Adjusting Imports of Automobiles and Automobile Parts Into the United States,,,,,,,,
2-Apr-25,China,Fentanyl and Immigration,"Duty-free packages from China to end May 2: The US issues a fact sheet and amends the February 1 and February 5 executive orders to end duty-free treatment of low-value shipments from China as of May 2, 2025. New duty rates are also described in the executive order.",Fact Sheet: President Donald J. Trump Closes De Minimis Exemptions to Combat China’s Role in America’s Synthetic Opioid Crisis,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People’s Republic of China as Applied to Low-Value Imports,,,,,,,
2-Apr-25,World,Trade Deficits,"Tariffs on nearly all countries for their trade surpluses: The White House issues an executive order and fact sheet declaring a national emergency and invoking the International Emergency Economic Powers Act (IEEPA) to impose a baseline 10 percent tariff starting April 5, 2025, on virtually all countries and then additional “reciprocal” tariffs starting April 9, 2025 on countries that contribute to large, persistent US trade deficits. USTR also releases an explanation seeking to justify their controversial methodological approach used to calculate the country-specific tariffs of the baseline rate of 10 percent. Hear more on what happened on Trade Talks. ","Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits
","Fact Sheet: President Donald J. Trump Declares National Emergency to Increase our Competitive Edge, Protect our Sovereignty, and Strengthen our National and Economic Security",Reciprocal Tariff Calculations,What happened on Trump’s tariff day (Episode 207),,,,,
26-Mar-25,World,Autos,"Tariffs on automobiles and automobile parts: The White House issues a proclamation and fact sheet invoking Section 232 of the Trade Expansion Act of 1962 to impose 25 percent tariffs on automobiles and certain automobile parts, such as engines, transmissions, powertrain parts, and electrical components on April 3, 2025. Also announced are special tariff exemptions for USMCA-compliant auto parts as well as for the value of US content embedded in autos imported under USMCA. (Note: The proclamation refers to a May 2019 proclamation issued during the first Trump administration in which the president concurred with the Commerce’s secretary’s finding that imported autos and parts were a threat to national security.)  ","ADJUSTING IMPORTS OF AUTOMOBILES AND AUTOMOBILE
PARTS INTO THE UNITED STATES","Fact Sheet: President Donald J. Trump Adjusts Imports of Automobiles and Automobile Parts into the United States
","Adjusting Imports of Automobiles and Automobile Parts Into the United States
",,,,,,
,,Auto parts,,,,,,,,,,
25-Mar-25,World ,Venezuela sanctions,"Secondary tariffs on third countries importing Venezuelan oil: The White House issues an executive order that extends earlier sanctions on Venezuela by indicating that, as of April 2, 2025, the exports to the United States from any third country found importing oil from Venezuela will be subject to a 25 percent US import tariff under the International Emergency Economic Powers Act (IEEPA).",Imposing Tariffs on Countries Importing Venezuelan Oil ,,,,,,,,
20-Mar-25,World,Critical minerals,Increasing critical minerals production in the United States: The White House issues an executive order seeking to encourage additional mining and processing of critical minerals in the United States (Federal Register notice).,Immediate Measures to Increase American Mineral Production ,Immediate Measures To Increase American Mineral Production ,,,,,,,
12-Mar-25,Canada,Aluminum,"Canada retaliates against US steel and aluminum tariffs: Canada announces plans to retaliate on March 13, 2025, by imposing 25 percent tariffs on a list of US goods totaling C$29.8 billion, including C$12.6 billion worth of steel products, C$3 billion worth of aluminum products, and other US goods worth C$14.2 billion, including tools, computers and servers, display monitors, sport equipment, and cast-iron products.",Canada responds to unjustified U.S. tariffs on Canadian steel and aluminum products ,"List of products from the United States subject to 25 per cent tariffs effective March 13, 2025 ",,,,,,,
,,Steel,,,,,,,,,,
,,Retaliation,,,,,,,,,,
12-Mar-25,European Union,Aluminum,"EU retaliates against US steel and aluminum tariffs: The European Commission announces in a press release and fact sheet its two-part retaliation for the US tariffs that went into effect on March 12. One part restores the EU’s “rebalancing” tariff packages (from 2018 and 2020) that will go into effect April 1, 2025. A second part will eventually impose additional countermeasures on approximately €18 billion worth of US goods exports.

Hear more on the EU on Trade Talks.",Commission responds to unjustified US steel and aluminium tariffs with countermeasures * ,EU countermeasures on US steel and aluminium tariffs explained ,Is Europe ready for Trump? (Episode 204),,,,,,
,,Steel,,,,,,,,,,
,,Retaliation,,,,,,,,,,
12-Mar-25,World,Aluminum,"Tariffs on steel and aluminum go into effect: US tariffs of 25 percent on imports of steel, aluminum, and derivative products announced on February 10 go into effect. See also: Steel Federal Register notice, Aluminum Federal Register notice, Aluminum derivate products Federal Register notice. Despite prior threats that Ontario, Canada would retaliate with a 25 percent tax on energy exports to the US and Trump’s threat to counter-retaliate by doubling the US tariff on Canadian steel from 25 to 50 percent, neither materialize by this point.

Hear more on steel and aluminum on Trade Talks.",Adjusting Imports of Steel Into the United States ,Implementation of Duties on Steel Pursuant to Proclamation 10896 Adjusting Imports of Steel Into the United States ,Adjusting Imports of Aluminum Into the United States ,"Implementation of Duties on Aluminum Pursuant to Proclamation 10895 Adjusting Imports of Aluminum Into the United States
","Ontario Applies 25 Per Cent Surcharge on Electricity Exports to United States
",Truth Social post,"Trump’s steel and aluminum tariffs are back (Episode 202)
",,
,,Steel,,,,,,,,,,
10-Mar-25,China,Fentanyl and Immigration,"China’s tariff retaliation goes into effect: In response to the additional US tariffs of March 4, China’s announced retaliatory tariffs of March 4 go into effect.",国务院关税税则委员会关于对原产于美国的部分进口商品加征关税的公告 ,,,,,,,,
,,Retaliation,,,,,,,,,,
6-Mar-25,Mexico,Fentanyl and Immigration,US exempts imports from Mexico satisfying USMCA rules of origin requirements: The White House issues a fact sheet and executive order amending the March 4 tariffs to exempt imports from Mexico satisfying USMCA rules of origin requirements and to lower the tariff on potash to 10 percent.,Fact Sheet: President Donald J. Trump Adjusts Tariffs on Canada and Mexico to Minimize Disruption to the Automotive Industry,AMENDMENT TO DUTIES TO ADDRESS THE FLOW OF ILLICIT DRUGS ACROSS OUR SOUTHERN BORDER,"Notice of Implementation of Additional Duties on Products of Mexico Pursuant to the President's Executive Order 14194, Imposing Duties To Address the Situation at Our Southern Border
","Amendment to Notice of Implementation of Additional Duties on Products of Mexico Pursuant to the President's Executive Order 14194, Imposing Duties To Address the Situation at Our Southern Border
",,,,,
6-Mar-25,Canada,Fentanyl and Immigration,US exempts imports from Canada satisfying USMCA rules of origin requirements: The White House issues a fact sheet and executive order amending the March 4 tariffs to exempt imports from Canada satisfying USMCA rules of origin requirements and to lower the tariff on potash to 10 percent.,Fact Sheet: President Donald J. Trump Adjusts Tariffs on Canada and Mexico to Minimize Disruption to the Automotive Industry,AMENDMENT TO DUTIES TO ADDRESS THE FLOW OF ILLICIT DRUGS ACROSS OUR NORTHERN BORDER,"Notice of Implementation of Additional Duties on Products of Canada Pursuant to the President's Executive Order 14193, Imposing Duties To Address the Flow of Illicit Drugs Across Our Northern Border
","Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border
",,,,,
4-Mar-25,China,Fentanyl and Immigration,"China retaliates: Tariffs on US farm exports, export controls, sanctions, antidumping investigation, and more: In response to the additional US tariffs of March 4, China announces new tariffs will go into effect on March 10 on US farm exports, including soybeans, chicken, wheat, corn, and cotton products, as well as sorghum, pork, beef, seafood, fruits, vegetables, and dairy products. China also announces an antidumping investigation into US optical-fiber products, 10 US companies being added to the unreliable entity list, 15 companies facing export controls, and a ban on imports of Illumina's gene sequencers.",国务院关税税则委员会关于对原产于美国的部分进口商品加征关税的公告 ,商务部公告2025年第14号 公布对原产于美国的进口相关截止波长位移单模光纤发起反规避调查 ,"不可靠实体清单工作机制关于将特科姆公司等10家美国企业列入不可靠实体清单的公告
","商务部公告2025年第13号 公布将15家美国实体列入出口管制管控名单
","不可靠实体清单工作机制关于对美国因美纳公司采取不可靠实体清单处理措施的公告
",,,,
,,Retaliation,,,,,,,,,,
4-Mar-25,Canada,Fentanyl and Immigration,"Canada retaliates on US farm exports and more: Canada announces plans to retaliate by imposing 25 percent tariffs on C$155 billion worth of imported goods from the United States. Going into immediate effect are tariffs on goods worth C$30 billion, including orange juice, peanut butter, wine, spirits, beer, coffee, appliances, apparel, footwear, motorcycles, cosmetics, and certain pulp and paper products.",Canada announces robust tariff package in response to unjustified U.S. tariffs ,"List of products from the United States subject to 25 per cent tariffs effective March 4, 2025 ",,,,,,,
,,Retaliation,,,,,,,,,,
4-Mar-25,China,Fentanyl and Immigration,Higher tariffs go into effect on China: The White House issues an executive order amending the executive order of February 1 by raising the new tariffs on all imports from China from 10 percent to 20 percent.,FURTHER AMENDMENT TO DUTIES ADDRESSING THE SYNTHETIC OPIOID SUPPLY CHAIN IN THE PEOPLE’S REPUBLIC OF CHINA,"Further Amended Notice of Implementation of Additional Duties on Products of the People's Republic of China Pursuant to the President's Executive Order 14195, Imposing Duties To Address the Synthetic Opioid Supply Chain in the People's Republic of China
",,,,,,,
4-Mar-25,Mexico,Fentanyl and Immigration,US tariffs go into effect on Mexico: The White House issues a fact sheet announcing that President Trump is ending the 30-day pause on the February 1 executive order by imposing 25 percent tariffs on all imports from Mexico.,Fact Sheet: President Donald J. Trump Proceeds with Tariffs on Imports from Canada and Mexico,,,,,,,,
4-Mar-25,Canada,Fentanyl and Immigration,US tariffs go into effect on Canada: The White House issues a fact sheet announcing that President Trump is ending the 30-day pause on the February 1 executive order by imposing 10 percent tariffs on imports of Canadian oil and energy products and 25 percent tariffs on the remainder of imports from Canada.,Fact Sheet: President Donald J. Trump Proceeds with Tariffs on Imports from Canada and Mexico,,,,,,,,
1-Mar-25,World,Lumber,"Timber and lumber imports as a national security threat: The White House issues an executive order requesting the Department of Commerce conduct an investigation into whether imports of timber and lumber pose a threat to US national security under Section 232 of the Trade Expansion Act of 1962. In a separate executive order, the White House direct the Department of Interior and Department of Agriculture to issue new regulatory guidance for expanded domestic timber production.","Addressing The Threat To National Security from Imports of Timber, Lumber",Immediate Expansion of American Timber Production ,Immediate Expansion of American Timber Production ,,,,,,
25-Feb-25,World,Copper,Copper imports as a national security threat: The White House issues a fact sheet and executive order requesting the Department of Commerce conduct an investigation into whether imports of copper pose a threat to US national security under Section 232 of the Trade Expansion Act of 1962. (Federal Register notice),Fact Sheet: President Donald J. Trump Addresses the Threat to National Security from Imports of Copper,"ADDRESSING THE THREAT TO NATIONAL
SECURITY FROM IMPORTS OF COPPER",Copper Statistics and Information,"Addressing the Threat to National Security From Imports of Copper
",,,,,
21-Feb-25,Austria,,"Defending American Companies and Innovators From Overseas Extortion and Unfair Fines and Penalties Memorandum: The White House releases a memorandum and fact sheet articulating concerns with foreign treatment of US digital companies, especially by the European Union, and requesting the US Trade Representative to re-examine any digital services taxes (DSTs) of Austria, France, Italy, Spain, Turkey, and the United Kingdom under Section 301 of the Trade Act of 1974 and consider a formal USMCA dispute against Canada.",Defending American Companies and Innovators From Overseas Extortion and Unfair Fines and Penalties,Fact Sheet: President Donald J. Trump Issues Directive to Prevent the Unfair Exploitation of American Innovation,"Defending American Companies and Innovators From Overseas Extortion and Unfair Fines and Penalties
",,,,,,
,Canada,,,,,,,,,,,
,European Union,,,,,,,,,,,
,France,,,,,,,,,,,
,Italy,,,,,,,,,,,
,Spain ,,,,,,,,,,,
,Turkey ,,,,,,,,,,,
,UK,,,,,,,,,,,
21-Feb-25,China,,"America First Investment Policy Memorandum: The White House releases a memorandum and fact sheet on the administration’s policy toward inbound foreign direct investment, especially from adversaries such as China, that includea “fast track” policy for investment from specified partners and allies.",America First Investment Policy,Fact Sheet: President Donald J. Trump Encourages Foreign Investment While Protecting National Security,,,,,,,
,World,,,,,,,,,,,
13-Feb-25,World,,"Reciprocal Trade and Tariffs Memorandum: The White House releases a memorandum, fact sheet, and statement defining the problem and outlining the Trump administration’s plan to counter nonreciprocal trading arrangements.",Reciprocal Trade and Tariffs,Fact Sheet: President Donald J. Trump Announces “Fair and Reciprocal Plan” on Trade,"President Trump Demands Fair, Reciprocal Trade",,,,,,
10-Feb-25,World,Aluminum,"Tariffs on steel and aluminum: Trump issues one proclamation imposing 25 percent import tariffs on steel and a separate proclamation imposing 25 percent tariffs on aluminum as of March 12, 2025, adjusting the Section 232 tariffs on those metals first imposed in March 2018. (The aluminum proclamation is dated February 11. See also: White House fact sheet, Steel Federal Register notice, Aluminum Federal Register notice). Hear more on steel and aluminum on Trade Talks.",Adjusting Imports of Steel into The United States,Adjusting Imports of Steel into The United States,Fact Sheet: President Donald J. Trump Restores Section 232 Tariffs,Adjusting Imports of Steel Into the United States,Adjusting Imports of Aluminum Into the United States,Trump’s steel and aluminum tariffs are back (Episode 202),,,
,,Steel,,,,,,,,,,
10-Feb-25,China,Fentanyl and Immigration,"China’s tariff retaliation goes into effect: In response to the additional US tariffs of February 4, China’s announcedretaliatory tariffs of February 4 go into effect.","国务院关税税则委员会关于对原产于美国的
部分进口商品加征关税的公告",,,,,,,,
,,Retaliation,,,,,,,,,,
5-Feb-25,China,Fentanyl and Immigration,Duty-free packages from China restored: The US amends the February 1 executive order to temporarily restore duty-free treatment of low-value shipments from China (Federal Register notice). De minimis amendments for Canada and Mexico later arrive on March 2.,AMENDMENT TO DUTIES ADDRESSING THE SYNTHETIC OPIOID SUPPLY CHAIN IN THE PEOPLE’S REPUBLIC OF CHINA,Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,"Amendment to Duties to Address the Flow of Illicit Drugs across our Northern Border
","Amendment to Duties to Address the Situation at our Southern Border
",,,,,
4-Feb-25,China,Fentanyl and Immigration,"China retaliates: China announces tariffs, export controls, and unreliable entity designations, and threatens new antitrust investigations into Google in response to US tariffs imposed on February 4. Chinese tariffs take effect on February 10.","国务院关税税则委员会关于对原产于美国的
部分进口商品加征关税的公告","商务部 海关总署公告2025年第10号
公布对钨、碲、铋、钼、铟相关物项
实施出口管制的决定",不可靠实体清单工作机制关于将美国PVH集团和因美纳公司列入不可靠实体清单的公告,"谷歌公司涉嫌违反反垄断法
市场监管总局依法决定立案调查",,,,,
,,Retaliation,,,,,,,,,,
4-Feb-25,China,Fentanyl and Immigration,"Tariffs on China go into effect, end of duty-free packages from China: The US imposes 10 percent tariffs on imports from China announced February 1. The US also ends de minimis treatment of low-value packages from China receiving zero tariffs. See also: Federal Register notice 1 and .notice 2. Hear more on de minimis on Trade Talks",Imposing Duties to Address the Synthetic Opioid Supply Chain in the People’s Republic of China,"Implementation of Additional Duties on Products of the People's Republic of China Pursuant to the President's February 1, 2025 Executive Order Imposing Duties To Address the Synthetic Opioid Supply Chain in the People's Republic of China",Imposing Duties To Address the Synthetic Opioid Supply Chain in the People's Republic of China,"What if Trump halts duty-free packages from China?
(Episode 203)",,,,,
3-Feb-25,Canada,Fentanyl and Immigration,"Tariffs on Canada on hold: Canada’s Trudeau posts on X that the tariffs are on hold for 30 days, as Canada implements its plan to secure the northern border to address fentanyl trafficking. The White House confirms in an executive order.",X Post,Progress on the Situation at Our Northern Border,,,,,,,
3-Feb-25,Mexico,Fentanyl and Immigration,Tariffs on Mexico on hold: Mexico’s Sheinbaum posts on X that US tariffs are on hold for one month after Mexico agrees to send more National Guard members to the southwest border and the US agrees to work on reducing weapons shipments to Mexico. The White House confirms in an executive order.,X Post,Progress on the Situation At Our Southern Border,,,,,,,
1-Feb-25,Canada,Fentanyl and Immigration,"Canada announces retaliation: Canada announces two rounds of tariffs, including those imposed immediately following the US tariffs, targeting US exports including orange juice, peanut butter, wine, spirits, beer, coffee, appliances, apparel, footwear, motorcycles, cosmetics, and pulp and paper.",Canada announces $155B tariff package in response to unjustified U.S. tariffs,,,,,,,,
,,Retaliation,,,,,,,,,,
1-Feb-25,Canada,Fentanyl and Immigration,"Tariffs on Canada, Mexico, and China: Trump issues executive orders and a fact sheet announcing tariffs on Canada, Mexico, and China coming February 4. The orders would also end duty-free de minimis treatment of low-value packages from these countries. Hear more on what happened on Trade Talks.","Fact Sheet: President Donald J. Trump Imposes Tariffs on Imports from Canada, Mexico and China","IMPOSING DUTIES TO ADDRESS THE FLOW OF
ILLICIT DRUGS ACROSS OUR NORTHERN BORDER",Imposing Duties to Address the Situation at Our Southern Border,Imposing Duties to Address the Synthetic Opioid Supply Chain in the People’s Republic of China,Trade Talks is back. And so is President Trump. (Episode 201),,,,
,China,,,,,,,,,,,
,Mexico,,,,,,,,,,,
20-Jan-25,,,"America First Trade Policy Memorandum: The White House releases a memorandum outlining trade priorities for the administration, directing departments and agencies to complete studies by April 1, 2025. ",America First Trade Policy,,,,,,,,
